UF 275096,32.66,33.08,L1-L5,Chucunaque
UF 275097,79.49,76.288976,a1-a3,Chucunaque
UF 275099.1,39.92,39.789608,a1-a3,Chucunaque
UF 275099.2,20.33,21.719792,"L5-L7, l3-l6",Chucunaque
UF 275107,51.2552,50.25,"L1-L5, l1-l5",Chucunaque
UF 275108,59.23,57.601152,a1-a3,Chucunaque
UF 275109,27.23,24.83,L1-L5,Chucunaque
UF 275110,43.95,38.66,A1-A2,Chucunaque
UF 275114,82.44,79.010056,A1-A2,Chucunaque
UF 275116,86.93,85.4,A1-A2,Chucunaque
UF 275117.1,28.59,30.24,A1-A2,Chucunaque
UF 275118,87.8,83.95412,A1-A2,Chucunaque
UF 275127,34.11,34.430464,a1-l5,Chucunaque
UF 275128,27.6,28.42564,L1-L5,Chucunaque
UF 275129,40.38,40.213912,a1-a3,Chucunaque
UF 275131,66.61,64.408464,A1-A2,Chucunaque
UF 275132,78.02,74.933048,A1-A2,Chucunaque
UF 275133,50.34,49.401016,A1-A2,Chucunaque
UF 275134,37.36,37.428264,A1-A2,Chucunaque
UF 275136,43.51,43.101024,a1-a3,Chucunaque
UF 275137,65.17,63.080208,L1-L5,Chucunaque
UF 275139,55.50856,54.2,A1-A2,Chucunaque
UF 275151,47.25,46.5508,l1-l3,Chucunaque
AT04-17-1,43.8,43.2,a1-a2,Gatun
AT04-41-2,56.4,60.3,A1-A2,Gatun
AT06-9-1,60.1,57.7,A1-A2,Gatun
CTPA 6671,72.3,74.7,A1-A2,Gatun
UF 237898,50,53,A1-A2,Gatun
UF 237914,46.4,31.4,L1-L5,Gatun
UF 237949,32.9,35.7,A1-A2,Gatun
UF 237950,54.2,47.7,a2-a2,Gatun
UF 237951,17.6,26.8,L1-L5,Gatun
UF 237952,31.3,43.2,L1-L5,Gatun
UF 237953,24.5,30.9,l1-l5,Gatun
UF 237954,41.2,41.7,A1-A2,Gatun
UF 237955,28.5,28.4,A1-A2,Gatun
UF 237956,28.1,44.9,l4-l6,Gatun
UF 237957,19.4,26.7,L6-L9,Gatun
UF 237959,16,16.1,a1-a2,Gatun
UF 242801,27.5,31.2,L1-L5,Gatun
UF 242802,41,45.1,L1-L5,Gatun
UF 242803,34.7,40.8,L1-L5,Gatun
UF 242804,34.7,34.7,L1-L5,Gatun
UF 245844,11.2,20.6,l5-l7,Gatun
UF 245852,70.9,73.2,L2-L3,Gatun
UF 245885,36.6,39.6,L1-L3,Gatun
UF 245886,40.5,45.6,L1-L5,Gatun
UF 245925,19.2,23.2,L6-L8,Gatun
UF 245995,63.2,62.2,a3-a3,Gatun
UF 245996,25.9,31.8,l2-l6,Gatun
UF 246002,24.5,35,L5-L7,Gatun
UF 246003,45.4,52.4,L1-L3,Gatun
UF 246846,28.2,28.2,L1-L3,Gatun
UF 247248,61.8,61.8,A1-A2,Gatun
UF 247250,40.7,40.7,a1-a2,Gatun
UF 247251,45.1,45.1,a1-a2,Gatun
UF 247252,48.2,48.2,L1-L5,Gatun
UF 247254,63.4,63.4,L1-L5,Gatun
UF 257576,43.9,43.9,a1-a2,Gatun
UF 257577,39.7,39.7,L5-L7,Gatun
UF 257578,51.1,51.1,A1-A2,Gatun
UF 257579,41.2,41.2,L5-L7,Gatun
UF 266953,22.5,22.5,L6-L8,Gatun
P15216.1,96,96.5,A1-A2,Loxton Sand
P15216.2,94,93,L1-L2,Loxton Sand
LACM 10153.1,38.09,,l1-l5,Monterey
LACM 10153.2,33.54,,a1-a2,Monterey
LACM 144941,40.2,42,A1-A2,Monterey
LACM 58935,85.21,102.45,A1-A2,Monterey
LACM 59052,82.5,93.99,L1-L5,Monterey
SDNHM 98715.1,35.42,,L5-L7,Monterey
SDNHM 98715.2,45.94,,a1-a2,Monterey
SDNHM 98715.3,27.04,,l1-l5,Monterey
P37925,93.45,100.05,A1-A2,Muddy Creek
P59278,62.5,56.5,L1-L3,Onzole
P59279,65.5,46.8,a1-a2,Onzole
p59280,75,61.9,A1-A2,Onzole
P59281,61.5,69.9,A1-A2,Onzole
21.245,87.63,86.41,a1-a2,Parana
9326.1,17.05,24.12,L1-L5,Parana
14328.1,70.19,,A1-A2,Parana
14328.1,42.66,52.62,L1-L5,Parana
14328.1,76.85,88.82,L1-L5,Parana
40-v-31-1,48.71,53.36,a1-a3,Parana
86-v-1-159,94.38,106.41,A2-L2,Parana
MUSM 2088,62.5,50.89,A1-A2,Pisco
MUSM 2089,53.49,,L1-L5,Pisco
MUSM 2090,75.69,,a1-a2,Pisco
MUSM 2091,84.35,,A1-A2,Pisco
MUSM 2092,105.75,111.31,A1-A2,Pisco
MUSM 2093,105.48,124.86,A1-A2,Pisco
MUSM 2094,81.59,69.72,a1-a2,Pisco
MUSM 2095,81.8,70.07,a1-a2,Pisco
MUSM 2096,104.34,89.6,A1-A2,Pisco
MUSM 2097,90.18,81.02,L1-L3,Pisco
MUSM 2098,89.08,70.25,A1-A2,Pisco
MUSM 2099,91.22,78.85,A1-A2,Pisco
MUSM 2100,70.02,64.52,A1-A2,Pisco
MUSM 2101,40.21,,L3-L7,Pisco
MUSM 2102,49.14,36.84,l1-l5,Pisco
MUSM 2103,44.67,43.14,l1-l5,Pisco
MUSM 2105,25.47,39.36,L5-L7,Pisco
MUSM 2106,16.01,18.67,l5-l7,Pisco
MUSM 2107,114.45,116.7,A1-A2,Pisco
MUSM 2108,85.48,104.34,L1-L3,Pisco
MUSM 2109,75.94,72.57,L1-L5,Pisco
MUSM 2110,34.89,37.43,l1-l5,Pisco
MUSM 2111,75.29,71.03,L2-L4,Pisco
MUSM 2112,91.68,115.99,L2-L4,Pisco
MUSM 2113,10.02,23.77,"L6-L7, l6-l7",Pisco
MUSM 634-1,80.55,93.13,A1-A2,Pisco
MUSM 634-2,76.81,69.77,a1-a2,Pisco
MUSM 634-3,88.17,68.57,A1-A2,Pisco
MUSM 634-4,79.82,94.07,A1-A2,Pisco
MUSM 634-5,59.58,54.36,L1-L5,Pisco
MUSM 635,96.3,114.68,A1-A2,Pisco
USNM 280567,45.52,43.93,a1-a2,Pungo River
USNM 295331,103.54,95.36,A1-A2,Pungo River
USNM 355806,67.6,79.61,l1-l3,Pungo River
USNM 355820,84.68,88.75,L1-L5,Pungo River
76-V-14142.1,58.35,,a1-a2,Punta del Diablo
76-V-14142.2,53.63,,a1-a2,Punta del Diablo
86-II-10-13,84.66,89.29,l1-l2,Punta del Diablo
86-II-10-7410.1,66.59,,a1-a2,Punta del Diablo
86-II-10-7410.2,65.58,,A1-A2,Punta del Diablo
86-II-10-7410.3,72.69,,A1-A2,Punta del Diablo
UCMP 219502,115.06,118.74,A1-A2,Purisima
SDNHM 67595,47.75,60.99,L1-L3,Rosarito Beach
SDNHM 77901,17.8,25.79,L5-L7,Rosarito Beach
UCMP 111745,10.58,22.22,"L1-L7, l1-l5",Rosarito Beach
LACM 131149,63.8,,A1-A2,San Mateo
SDNHM 23617,65.2,,L1-L5,San Mateo
SDNHM 23959,84.8,90.52,L1-L5,San Mateo
SDNHM 24448,82.76,,L1-L3,San Mateo
SDNHM 77430,24.3,27.22,l1-l5,San Mateo
UF 259902,56.03,,a1-a2,Tamiami
UF 259903,27.72,27.68,L4-L8,Tamiami
UF 259907,30.19,35.58,A1-A2,Tamiami
UF 259908,74.4,,L1-L3,Tamiami
Acc.4311 1968,66.02,60.82,a1-a2,Temblor
Acc.4311.1,36.55,45.35,A1-A2,Temblor
Acc.4311.2,43.89,,A1-A2,Temblor
LACM - Pathology,74.4,97.68,L1-L3,Temblor
